            t_name  size  covered        sum     mean0      mean
10660  FBtr0005088  1000      630  1991.4500  1.991450  3.161030
11619  FBtr0006151  1000      650  -469.2180 -0.469218 -0.721873
4518   FBtr0070000  1000      616 -2056.4400 -2.056440 -3.338380
4516   FBtr0070001  1000      648 -2048.9600 -2.048960 -3.161980
4515   FBtr0070002  1000      646 -1882.2400 -1.882240 -2.913680
4513   FBtr0070003  1000      575 -1412.8600 -1.412860 -2.457140
4506   FBtr0070006  1000      621  -922.6050 -0.922605 -1.485680
4503   FBtr0070007  1000      646   788.8600  0.788860  1.221150
4502   FBtr0070008  1000      645   868.0950  0.868095  1.345880
4132   FBtr0070025  1000      635  -676.5670 -0.676567 -1.065460
4133   FBtr0070026  1000      651  1134.4700  1.134470  1.742660
4136   FBtr0070027  1000      604  1237.2800  1.237280  2.048480
4139   FBtr0070028  1000      575   360.5180  0.360518  0.626987
4141   FBtr0070029  1000      563 -1408.7600 -1.408760 -2.502230
4144   FBtr0070032  1000      646 -2170.2200 -2.170220 -3.359480
4150   FBtr0070034  1000      569 -2032.8500 -2.032850 -3.572670
4151   FBtr0070035  1000      642 -1676.1100 -1.676110 -2.610760
4152   FBtr0070036  1000      650 -1787.5300 -1.787530 -2.750050
26309  FBtr0070038  1000      525   -99.1739 -0.099174 -0.188903
22960  FBtr0070040  1000      570  1839.3600  1.839360  3.226940
22961  FBtr0070041  1000      570  1839.3600  1.839360  3.226940
22942  FBtr0070042  1000      475   171.0150  0.171015  0.360032
22943  FBtr0070043  1000      475   171.0150  0.171015  0.360032
22944  FBtr0070044  1000      475   171.0150  0.171015  0.360032
22947  FBtr0070045  1000      591   482.7520  0.482752  0.816840
26307  FBtr0070046  1000      507   895.5890  0.895589  1.766450
1205   FBtr0070050  1000      635  2916.2100  2.916210  4.592460
1206   FBtr0070051  1000      641   818.6110  0.818611  1.277080
1207   FBtr0070052  1000      584  2027.2300  2.027230  3.471290
1208   FBtr0070053  1000      635  3318.2600  3.318260  5.225610
...            ...   ...      ...        ...       ...       ...
27374  FBtr0347326  1000      607  1528.6600  1.528660  2.518390
31847  FBtr0347327  1000      615 -1340.6700 -1.340670 -2.179950
31841  FBtr0347328  1000      596   -91.3718 -0.091372 -0.153308
31787  FBtr0347329  1000      628  3412.8200  3.412820  5.434430
27277  FBtr0347330  1000      625  2405.4800  2.405480  3.848760
31694  FBtr0347331  1000      603  -146.1950 -0.146195 -0.242447
31673  FBtr0347332  1000      635  2345.4700  2.345470  3.693660
27188  FBtr0347333  1000      628 -1521.8300 -1.521830 -2.423300
31617  FBtr0347334  1000      631  2813.4700  2.813470  4.458750
31609  FBtr0347335  1000      661 -1860.8200 -1.860820 -2.815160
26843  FBtr0347336  1000      639 -2557.3100 -2.557310 -4.002050
31305  FBtr0347337  1000      580  1979.7100  1.979710  3.413300
26833  FBtr0347338  1000      646  1222.9000  1.222900  1.893030
26832  FBtr0347339  1000      638 -1832.4700 -1.832470 -2.872210
26781  FBtr0347340  1000      587  1817.2500  1.817250  3.095830
31124  FBtr0347341  1000      642   -68.3256 -0.068326 -0.106426
31021  FBtr0347342  1000      631  -992.4740 -0.992474 -1.572860
26701  FBtr0347343  1000      628  4229.4200  4.229420  6.734750
26696  FBtr0347344  1000      600 -1266.7700 -1.266770 -2.111280
31047  FBtr0347345  1000      648  2339.0600  2.339060  3.609660
31024  FBtr0347346  1000      635 -1510.4000 -1.510400 -2.378590
26581  FBtr0347347  1000      623  -579.8470 -0.579847 -0.930734
26584  FBtr0347348  1000      626  3009.5900  3.009590  4.807650
30935  FBtr0347349  1000      639  -444.3870 -0.444387 -0.695441
30937  FBtr0347350  1000      639  -444.3870 -0.444387 -0.695441
30905  FBtr0347351  1000      648 -2372.6400 -2.372640 -3.661490
26473  FBtr0347352  1000      651 -2506.8400 -2.506840 -3.850750
30875  FBtr0347353  1000      627 -1811.2500 -1.811250 -2.888760
26413  FBtr0347354  1000      621   293.7770  0.293777  0.473071
30856  FBtr0347355  1000      650   203.7360  0.203736  0.313441

[34718 rows x 6 columns]
