gene	ratio	p-value
Matn1	0.121920535543	3.45624933415e-05
Casp3	2.37256007374	0.000100650362158
Vim	2.34541811434	0.00060938021897
Tnfrsf13c	0.180887550483	0.000960500134112
Snora28	26.5522403459	0.000993858295683
Tubb1	0.109901637092	0.0019324911348
Uba7	0.498251218201	0.00247145303956
Fzd7	2.57931879227	0.00336974915502
Csf2rb2	0.311869568924	0.00372182755289
Kalrn	0.260027341049	0.00417961997551
Fam132b	0.20945151938	0.00419037535586
Itpkb	2.0947648809	0.00432125751236
Sept9	2.79897380224	0.00473059963655
Tulp2	0.398077237076	0.00476866394364
Crlf1	0.19985725477	0.00487022384204
Arap3	3.38777689243	0.00523090624441
Slc25a37	0.487752579791	0.00531039880235
Nudt18	0.4916161207	0.00531885254786
Creb3l3	0.0640488193709	0.00578149633857
Capn5	0.201207026803	0.00667172440678
Ergic1	2.68617987502	0.00677111691338
Rgs12	0.449362432701	0.00682793784241
Alas2	0.222501459542	0.00697845623087
Tfap4	2.20881979735	0.00712742804692
Fn3k	0.115660187236	0.00729503772683
Dhrs3	0.205243409069	0.00736798892222
Lpcat4	2.98090889896	0.00744249507902
2310046K01Rik	0.0592546662568	0.00769362286635
Dhrs11	0.495253010639	0.00775893927798
Rgs19	6.37769584181	0.00777783971038
Flna	3.59974547008	0.00813360596688
Pfkfb4	0.376055239107	0.00841895589741
Slc6a9	0.40490273781	0.00844866476398
Slc38a5	0.268600054361	0.00858404191637
Itga7	0.116041013753	0.00863169118161
Hmox1	0.467744562214	0.00901210643955
Ypel4	0.21501082206	0.00916222083192
Pdia2	0.360180740729	0.0099067796758
Tmem184a	0.261430286828	0.0101224905595
Mdk	0.452436031807	0.0102029151571
Snora7a	17.5033933821	0.0102284797509
Hyal1	0.21913398497	0.0104592241797
Dlc1	2.67071944745	0.010475942164
Sox12	2.18700268582	0.0109799948864
Fhdc1	0.418967813011	0.0110420350741
Sigmar1	2.12708588159	0.0112963366618
Gm10052	4.84827419059	0.0114100800559
St6galnac4	2.77159803815	0.0118419218642
Tubb3	0.219042673492	0.0122220036735
Cpne9	0.174092630142	0.0122473944238
5730408K05Rik	2.28107863531	0.0132980665625
Slc4a1	0.14791722913	0.0137512844784
Cdk6	2.6029681902	0.0138474169509
Wbscr27	0.390966380937	0.0140961119381
Epb4.9	0.266174875	0.0142817339616
Trp53inp2	0.359022079143	0.0146417434489
Ydjc	2.22242479228	0.0149021391646
Tmem88b	0.103814513768	0.0150219140181
Myb	3.11998911975	0.015676405732
Abhd4	0.43797387868	0.0173625470892
Snhg4	2.98023842027	0.017366554609
Fkbp11	5.31893388489	0.0174445887331
Etv5	2.61211244145	0.017741462299
Fbxo44	0.404319880594	0.017901158732
Bzw2	2.23679539729	0.0180302164175
Srxn1	0.348160316744	0.0182696500239
Serf1	2.46343496531	0.0189183064287
Ptprcap	2.14099128976	0.0189520949491
Padi3	0.450508952066	0.0196111238189
Ypel3	0.444115437952	0.020454778792
Rragd	0.14685245038	0.0205958660467
Btn1a1	0.445865875324	0.0208896035034
Ctsf	0.0728254295972	0.0221356285352
Rcbtb2	2.89396500441	0.0228824248938
Lgals9	2.45059394919	0.022979465185
Bri3bp	2.11557392299	0.0233003071427
Il1rl1	10.7370036438	0.0242344421035
Kit	2.60658771662	0.0243549819668
Gdpd1	0.400977975526	0.0254652165905
Dnmt3b	2.20581723718	0.0255040125929
Hcls1	2.13094695956	0.025844835545
Smyd5	2.85424460049	0.0278644866827
Kcnh2	0.362753640835	0.0279071407361
Prodh	3.11102722814	0.0288151957083
Rab3il1	0.318547793407	0.0290605067476
Gp5	2.4467499832	0.0299767819226
Gipr	0.49286528661	0.0304539963701
1600014C23Rik	0.343563430732	0.0306626469951
Slc19a1	2.51489534909	0.0322152955246
Pdxk	2.10765542987	0.0322206133097
Capg	3.07936521558	0.0331859706754
Dusp8	0.189141636133	0.033466821607
Sept1	2.11035598592	0.0344672657792
Slc26a11	0.447513566257	0.0345197993141
Hbb-y	0.421566988754	0.0351652177052
St8sia4	4.95405976901	0.0358890630287
Rgs11	0.483724974801	0.0362190577422
Cldn13	0.413979675517	0.036736765122
Dnajb2	0.439883275211	0.0372694012436
Abcb9	0.297180974418	0.0373509916623
Myo1g	4.24544270731	0.0380544271444
Tnfrsf13b	2.13803975218	0.0401659613569
Nefh	2.53531585232	0.0403931639296
1700097N02Rik	9.04405654811	0.0423354964289
Tbx6	0.232595639304	0.0481337920682
Dus4l	2.09739068076	0.048159671989
Aacs	2.77116291874	0.0485917942585

